meeting_key,session_key,driver_number,lap_number,date_start,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed
1229,9472,27,2,2024-03-02T15:05:36.269000+00:00,64.092,42.838,23.981,231.0,235,True,130.911,"[2064, 2064, 2064, 2048, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2048, 2049, 2049, 2049, 2049]","[2049, 2049, 2048, 2049, 2049, 2049, 2049]",212.0
1229,9472,1,3,2024-03-02T15:06:56.378000+00:00,30.999,41.966,23.788,231.0,243,False,96.753,"[None, 2049, 2049, 2049, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",290.0
1229,9472,16,3,2024-03-02T15:06:57.933000+00:00,31.223,42.856,23.983,234.0,256,False,98.062,"[2048, 2048, 2049, 2049, 2049, 2049, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2049, 2048, 2049, 2049, 2049, 2048, 2048, 2049]","[2048, 2048, 2048, 2049, 2048, 2048, 2049]",296.0
1229,9472,63,3,2024-03-02T15:06:58.696000+00:00,30.367,42.202,23.837,232.0,250,False,96.406,"[2049, 2049, 2049, 2048, 2048, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2048, 2048, 2049, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",318.0
1229,9472,11,3,2024-03-02T15:06:59.421000+00:00,30.596,42.478,24.223,231.0,245,False,97.297,"[2049, 2049, 2049, 2048, 2048, 2049, 2049, 2048, 2048, 2049]","[2048, 2048, 2048, 2048, 2049, 2048, 2049, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",315.0
1229,9472,55,3,2024-03-02T15:07:00.599000+00:00,31.049,42.179,23.852,233.0,246,False,97.08,"[None, 2049, 2049, 2049, 2048, 2049, 2048, 2048, 2049, 2048]","[2049, 2048, 2048, 2048, 2049, 2048, 2049, 2049, 2048, 2048, 2048]","[2049, 2048, 2048, 2048, 2048, 2048, 2048]",300.0
1229,9472,14,3,2024-03-02T15:07:02.457000+00:00,32.068,42.719,24.259,228.0,249,False,99.046,"[None, 2049, 2048, 2048, 2048, 2048, 2049, 2049, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2049, 2049, 2048, 2048, 2049]","[2048, 2048, 2048, 2048, 2048, 2048, 2049]",290.0
1229,9472,4,3,2024-03-02T15:07:02.960000+00:00,31.112,42.476,24.199,229.0,254,False,97.787,"[None, 2049, 2049, 2048, 2048, 2051, 2048, 2048, 2049, 2048]","[2049, 2048, 2049, 2048, 2048, 2048, 2048, 2049, 2049, 2048, 2049]","[2049, 2048, 2048, 2048, 2049, 2048]",318.0
1229,9472,81,3,2024-03-02T15:07:03.737000+00:00,31.147,42.993,24.118,,259,False,98.258,"[None, 2049, 2049, 2049, 2048, 2049, 2048, 2049, 2049, 2049]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2049]","[2048, 2048, 2048, 2049, 2048, 2049, 2049]",318.0
1229,9472,44,3,2024-03-02T15:07:04.200000+00:00,31.062,43.099,24.142,231.0,246,False,98.303,"[2049, 2049, 2049, 2049, 2048, 2049, 2048, 2048, 2048, 2049]","[2048, 2048, 2048, 2048, 2049, 2048, 2049, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2049, 2049]",311.0
1229,9472,22,3,2024-03-02T15:07:04.993000+00:00,30.989,43.073,24.369,227.0,238,False,98.431,"[None, 2049, 2049, 2049, 2049, 2048, 2048, 2049, 2049, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2049, 2049]",311.0
1229,9472,23,3,2024-03-02T15:07:05.531000+00:00,31.002,43.081,24.424,,244,False,98.507,"[2049, 2049, 2049, 2049, 2049, 2048, 2048, 2048, 2049, 2048]","[2049, 2048, 2049, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2049, 2048, 2048, 2048, 2048, 2048]",312.0
1229,9472,20,3,2024-03-02T15:07:06.129000+00:00,30.969,43.118,24.312,230.0,245,False,98.399,"[2049, 2049, 2049, 2049, 2048, 2048, 2048, 2049, 2049, 2048]","[2048, 2049, 2048, 2048, 2049, 2048, 2048, 2048, 2049, 2048, 2049]","[2048, 2048, 2048, 2049, 2048, 2048, 2049]",320.0
1229,9472,24,3,2024-03-02T15:07:06.448000+00:00,31.044,43.084,24.454,224.0,246,False,98.582,"[2051, 2051, 2051, 2049, 2048, 2049, 2048, 2048, 2048, 2048]","[2049, 2048, 2048, 2048, 2048, 2049, 2048, 2048, 2049, 2048, 2049]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",322.0
1229,9472,2,3,2024-03-02T15:07:07.169000+00:00,31.105,43.155,24.447,229.0,245,False,98.707,"[None, 2048, 2049, 2049, 2049, 2048, 2048, 2048, 2049, 2048]","[2048, 2048, 2049, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",
1229,9472,3,3,2024-03-02T15:07:07.994000+00:00,30.965,43.32,24.475,,242,False,98.76,"[None, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2048, 2048, 2048, 2049, 2049, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2049, 2049, 2048]",313.0
1229,9472,31,3,2024-03-02T15:07:08.536000+00:00,31.255,43.007,24.509,,246,False,98.771,"[None, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",295.0
1229,9472,10,3,2024-03-02T15:07:09.187000+00:00,31.254,42.848,24.642,,245,False,98.744,"[None, 2049, 2049, 2049, 2048, 2048, 2049, 2049, 2049, 2048]","[2048, 2048, 2049, 2048, 2048, 2048, 2048, 2049, 2048, 2048, 2049]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",302.0
1229,9472,77,3,2024-03-02T15:07:09.750000+00:00,31.119,43.321,24.397,233.0,248,False,98.837,"[None, 2049, 2049, 2048, 2048, 2048, 2049, 2049, 2048, 2049]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]",305.0
