session_key,avg_openmeteo_temperature_2m_c,avg_openmeteo_relative_humidity_2m_pct,total_openmeteo_precipitation_mm,total_openmeteo_rain_mm,avg_openmeteo_cloud_cover_pct,avg_openmeteo_wind_speed_10m_kmh,max_openmeteo_wind_gusts_10m_kmh,avg_openf1_track_temperature_c,avg_openf1_air_temperature_c,avg_openf1_humidity_pct,openf1_rainfall_flag,avg_openf1_wind_speed,openmeteo_rain_flag,weather_context_id,openf1_track_temp_bin,openf1_weather_category
9133,23.21666666666667,57.041666666666664,0.0,0.0,17.916666666666668,8.799999999999999,33.8,48.579268292682926,28.808536585365857,32.80487804878049,0,1.4408536585365854,False,9133,Very hot,Dry
9141,15.370833333333332,79.375,2.7,2.7,83.79166666666667,21.033333333333335,55.8,28.24066666666667,17.873333333333335,61.92666666666667,1,1.5946666666666667,True,9141,Moderate,Rain
9149,16.133333333333333,77.95833333333333,3.4,3.4,58.541666666666664,24.09166666666667,44.3,24.94114832535885,16.791866028708135,70.77511961722487,1,2.8215311004784693,True,9149,Cool,Rain
9157,22.629166666666666,76.41666666666667,0.0,0.0,82.04166666666667,6.383333333333333,23.4,42.92820512820513,29.330128205128204,42.32051282051282,0,1.13974358974359,False,9157,Hot,Dry
9165,28.366666666666664,75.58333333333333,2.7,2.7,71.75,10.383333333333333,28.1,36.42215909090909,29.844318181818185,72.0284090909091,0,1.4159090909090908,True,9165,Hot,Rain
9173,23.724999999999998,66.125,0.0,0.0,29.208333333333332,9.233333333333333,38.9,42.070253164556966,27.28860759493671,42.31645569620253,0,1.8297468354430382,False,9173,Hot,Dry
9181,17.191666666666666,70.0,0.3,0.3,50.875,8.195833333333333,38.2,45.63947368421053,25.54736842105263,23.55263157894737,0,1.4900000000000002,True,9181,Very hot,Rain
9189,14.404166666666667,52.041666666666664,0.0,0.0,13.083333333333334,25.2,78.1,17.994444444444444,18.05,47.361111111111114,0,2.300925925925926,False,9189,Cool,Dry
9197,24.391666666666666,59.875,0.0,0.0,26.75,8.424999999999999,33.5,33.46089743589744,26.96282051282051,51.0,0,1.794871794871795,False,9197,Moderate,Dry
9205,17.587500000000002,81.0,0.30000000000000004,0.30000000000000004,57.708333333333336,13.375,38.5,46.775956284153004,20.460109289617485,58.17486338797814,1,1.3092896174863389,True,9205,Very hot,Rain
9213,25.849999999999998,60.833333333333336,0.1,0.1,80.29166666666667,13.987499999999999,33.1,40.62857142857143,29.96011904761905,41.910714285714285,0,3.314285714285714,True,9213,Hot,Rain
9221,32.675000000000004,60.208333333333336,0.0,0.0,0.0,8.529166666666667,42.5,36.93207547169811,31.46289308176101,73.15723270440252,0,0.889937106918239,False,9221,Hot,Dry
9472,16.679166666666667,54.625,0.0,0.0,95.91666666666667,10.6625,25.6,23.65286624203822,18.227388535031846,48.82165605095541,0,0.7859872611464969,False,9472,Cool,Dry
9480,23.625,60.458333333333336,0.0,0.0,0.0,17.495833333333334,45.7,31.59315068493151,25.528082191780822,62.33561643835616,0,1.3027397260273972,False,9480,Moderate,Dry
9488,16.2375,66.66666666666667,0.0,0.0,39.208333333333336,14.158333333333333,43.9,38.40208333333333,20.62222222222222,44.451388888888886,0,0.9534722222222223,False,9488,Hot,Dry
9496,16.145833333333332,80.20833333333333,0.30000000000000004,0.30000000000000004,86.875,5.5375000000000005,23.0,37.50110497237569,21.691160220994476,43.430939226519335,0,2.2408839779005527,True,9496,Hot,Rain
9507,25.241666666666664,71.66666666666667,0.30000000000000004,0.30000000000000004,23.291666666666668,12.987499999999999,42.5,44.664,28.522000000000002,59.00666666666667,0,3.0806666666666667,True,9507,Hot,Rain
9515,18.366666666666667,78.29166666666667,0.2,0.2,73.33333333333333,5.7875000000000005,22.3,42.023776223776224,25.113986013986015,48.42657342657343,0,2.141258741258741,True,9515,Hot,Rain
9523,17.991666666666667,81.83333333333333,0.0,0.0,58.958333333333336,4.666666666666667,26.3,46.318000000000005,21.596500000000002,63.99,0,0.9795,False,9523,Very hot,Dry
9531,16.483333333333334,76.08333333333333,4.4,4.4,87.75,18.895833333333332,49.0,24.56991150442478,17.797345132743363,73.38053097345133,1,1.1699115044247788,True,9531,Cool,Rain
9539,19.679166666666667,79.5,2.8,2.8,88.41666666666667,8.0625,35.3,41.0961038961039,24.132467532467533,63.44155844155844,1,2.1233766233766236,True,9539,Hot,Rain
9550,22.675,68.875,0.0,0.0,59.541666666666664,6.804166666666667,41.0,46.42097902097902,29.425874125874124,35.00699300699301,1,1.667832167832168,False,9550,Very hot,Rain
9558,12.8375,77.33333333333333,2.0,2.0,49.625,15.549999999999999,40.7,27.670068027210885,15.77074829931973,67.33333333333333,1,1.3482993197278912,True,9558,Moderate,Rain
